Province,TotalSessions,DistinctViewers,Race,MaleUsers,FemaleUsers,TotalUsers,Gender,SessionPercentage,AgeCohort,DayOfWeek,SessionDate_SA,HourOfDay,Channel,TotalDurationInSeconds,SessionStartTime_SA,Email,Social Media Handle
Gauteng,1,1,black,1,0,1,male,0.01,Youth (18-24),7,2016/01/16,11,Africa Magic,1.76E+09,15:00.0,Filiberto 44@abcmail.com,@Filiberto 4
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),4,2016/03/02,14,kykNET,1.76E+09,04:00.0,Cory 104@abcmail.com,@Cory 10
Western Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/03/01,21,Supersport Live Events,1.76E+09,11:00.0,Garry 285@mailxyz.com,@Garry 28
Gauteng,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),6,2016/03/04,9,CNN,1.76E+09,17:00.0,Kip 142@gmail.com,@Kip 14
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),3,2016/01/19,9,DStv Events 1,1.76E+09,07:00.0,Wilton 413@mail.com,@Wilton 41
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),7,2016/02/06,18,Supersport Live Events,1.76E+09,00:00.0,Markus 192@gmail.com,@Markus 19
Western Cape,1,1,black,0,1,1,female,0.01,Adult (25-34),2,2016/01/11,16,Channel O,1.76E+09,08:00.0,Anette 371@yahoo.com,@Anette 37
Kwazulu Natal,1,1,coloured,1,0,1,male,0.01,Youth (18-24),4,2016/02/24,17,Cartoon Network,1.76E+09,58:00.0,Hyman 81@yahoo.com,@Hyman 8
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Youth (18-24),5,2016/03/24,11,Supersport Live Events,1.76E+09,02:00.0,Efren 131@yahoo.com,@Efren 13
Gauteng,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/26,7,Africa Magic,1.76E+09,25:00.0,Chas 353@mail.com,@Chas 35
Eastern Cape,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),4,2016/02/24,21,CNN,1.76E+09,11:00.0,Lucas 231@yahoo.com,@Lucas 23
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),6,2016/01/08,21,Cartoon Network,1.76E+09,06:00.0,Dion 332@gmail.com,@Dion 33
Mpumalanga,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),5,2016/01/14,20,SuperSport Blitz,1.76E+09,54:00.0,Romeo 372@gmail.com,@Romeo 37
Western Cape,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/23,12,ICC Cricket World Cup 2011,1.76E+09,33:00.0,Markus 191@yahoo.com,@Markus 19
Free State,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),4,2016/02/24,21,Channel O,1.76E+09,43:00.0,Earl 423@mail.com,@Earl 42
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/03/30,18,Trace TV,1.76E+09,24:00.0,Cody 124@abcmail.com,@Cody 12
Mpumalanga,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/02/23,6,SuperSport Blitz,1.76E+09,48:00.0,Robby 164@abcmail.com,@Robby 16
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),1,2016/02/28,12,ICC Cricket World Cup 2011,1.76E+09,58:00.0,Stacy 274@abcmail.com,@Stacy 27
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),2,2016/01/18,13,Channel O,1.76E+09,56:00.0,Filiberto 42@gmail.com,@Filiberto 4
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),3,2016/02/02,18,Supersport Live Events,1.76E+09,52:00.0,Abel 183@mail.com,@Abel 18
Western Cape,1,1,coloured,1,0,1,male,0.01,Kids (0-17),1,2016/03/06,20,Cartoon Network,1.76E+09,20:00.0,Dion 335@mailxyz.com,@Dion 33
Free State,1,1,None,1,0,1,male,0.01,Middle-Aged Adult (45-54),4,2016/02/24,14,ICC Cricket World Cup 2011,1.76E+09,09:00.0,Carter 34@abcmail.com,@Carter 3
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/01/19,21,Africa Magic,1.76E+09,58:00.0,Lane 111@yahoo.com,@Lane 11
Eastern Cape,1,1,coloured,1,0,1,male,0.01,Youth (18-24),6,2016/03/18,10,Supersport Live Events,1.76E+09,19:00.0,Lane 112@gmail.com,@Lane 11
Free State,1,1,white,0,1,1,female,0.01,Adult (25-34),2,2016/02/22,21,E! Entertainment,1.76E+09,30:00.0,Bess 52@gmail.com,@Bess 5
Western Cape,1,1,black,1,0,1,male,0.01,Kids (0-17),4,2016/03/16,22,Channel O,1.76E+09,25:00.0,Markus 193@mail.com,@Markus 19
Kwazulu Natal,1,1,indian_asian,0,1,1,female,0.01,Kids (0-17),7,2016/01/02,7,Cartoon Network,1.76E+09,58:00.0,Loris 103@mail.com,@Loris 10
Mpumalanga,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),5,2016/01/28,11,Africa Magic,1.76E+09,27:00.0,Lloyd 75@mailxyz.com,@Lloyd 7
None,1,1,None,0,0,1,None,0.01,Kids (0-17),3,2016/03/01,11,Channel O,1.76E+09,52:00.0,Iva 95@mailxyz.com,None
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/03/06,20,Africa Magic,1.76E+09,24:00.0,Markus 195@mailxyz.com,@Markus 19
Eastern Cape,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),7,2016/03/12,8,Supersport Live Events,1.76E+09,59:00.0,Lucas 231@yahoo.com,@Lucas 23
Mpumalanga,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),7,2016/03/26,11,ICC Cricket World Cup 2011,1.76E+09,30:00.0,Royal 173@mail.com,@Royal 17
Western Cape,1,1,None,1,0,1,male,0.01,Mature Adult (35-44),3,2016/03/08,19,M-Net,1.76E+09,19:00.0,Hollis 381@yahoo.com,@Hollis 38
Mpumalanga,1,1,black,0,1,1,female,0.01,Mature Adult (35-44),3,2016/03/08,20,Africa Magic,1.76E+09,41:00.0,Carlota 504@abcmail.com,@Carlota 50
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),3,2016/03/01,16,ICC Cricket World Cup 2011,1.76E+09,59:00.0,Donald 221@yahoo.com,@Donald 22
Eastern Cape,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/02/02,20,SuperSport Blitz,1.76E+09,34:00.0,Filiberto 43@mail.com,@Filiberto 4
Limpopo,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/01/06,18,Cartoon Network,1.76E+09,58:00.0,Loyd 495@mailxyz.com,@Loyd 49
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),3,2016/01/05,15,Supersport Live Events,1.76E+09,58:00.0,Bernardo 321@yahoo.com,@Bernardo 32
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/03/26,17,Trace TV,1.76E+09,40:00.0,Eli 295@mailxyz.com,@Eli 29
Gauteng,1,1,None,1,0,1,male,0.01,Youth (18-24),3,2016/03/29,4,SuperSport Blitz,1.76E+09,28:00.0,Hyman 84@abcmail.com,@Hyman 8
Gauteng,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),3,2016/03/15,17,Trace TV,1.76E+09,13:00.0,Jacinto 251@yahoo.com,@Jacinto 25
North West,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/02/27,4,Channel O,1.76E+09,57:00.0,Claud 341@yahoo.com,@Claud 34
Northern Cape,1,1,black,0,1,1,female,0.01,Adult (25-34),7,2016/02/13,9,Channel O,1.76E+09,46:00.0,Malika 282@gmail.com,@Malika 28
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/03/25,16,Supersport Live Events,1.76E+09,01:00.0,Donald 223@mail.com,@Donald 22
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),7,2016/02/20,13,Supersport Live Events,1.76E+09,38:00.0,Hyman 84@abcmail.com,@Hyman 8
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),2,2016/01/18,15,Supersport Live Events,1.76E+09,58:00.0,Valentine 472@gmail.com,@Valentine 47
Northern Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/03/02,13,Vuzu,1.76E+09,49:00.0,Donald 221@yahoo.com,@Donald 22
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),2,2016/03/07,21,Supersport Live Events,1.76E+09,45:00.0,Hyman 83@mail.com,@Hyman 8
North West,1,1,black,1,0,1,male,0.01,Adult (25-34),6,2016/01/22,21,Africa Magic,1.76E+09,52:00.0,Wilburn 303@mail.com,@Wilburn 30
Kwazulu Natal,1,1,black,0,1,1,female,0.01,Mature Adult (35-44),4,2016/01/20,5,E! Entertainment,1.76E+09,42:00.0,Rebekah 322@gmail.com,@Rebekah 32
Gauteng,1,1,black,1,0,1,male,0.01,Youth (18-24),7,2016/02/27,22,Channel O,1.76E+09,13:00.0,Chas 353@mail.com,@Chas 35
Eastern Cape,1,1,black,1,0,1,male,0.01,Retired (55+),1,2016/01/17,15,Trace TV,1.76E+09,41:00.0,Cory 103@mail.com,@Cory 10
Gauteng,1,1,white,0,1,1,female,0.01,Youth (18-24),5,2016/03/31,6,Channel O,1.76E+09,00:00.0,Luann 184@abcmail.com,@Luann 18
Gauteng,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),4,2016/03/09,13,ICC Cricket World Cup 2011,1.76E+09,11:00.0,Michel 202@gmail.com,@Michel 20
Gauteng,1,1,white,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/03,11,ICC Cricket World Cup 2011,1.76E+09,58:00.0,Eli 292@gmail.com,@Eli 29
North West,1,1,black,1,0,1,male,0.01,Adult (25-34),6,2016/01/29,14,Supersport Live Events,1.76E+09,37:00.0,Stacy 271@yahoo.com,@Stacy 27
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),7,2016/02/20,20,Boomerang,1.76E+09,38:00.0,Hyman 83@mail.com,@Hyman 8
Limpopo,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),5,2016/01/21,7,Channel O,1.76E+09,11:00.0,Charlie 364@abcmail.com,@Charlie 36
Western Cape,1,1,black,1,0,1,male,0.01,Adult (25-34),2,2016/02/01,8,Channel O,1.76E+09,36:00.0,Hugh13@mail.com,@Hugh1
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),4,2016/03/30,12,ICC Cricket World Cup 2011,1.76E+09,34:00.0,Dee 213@mail.com,@Dee 21
None,1,1,None,0,0,1,None,0.01,Kids (0-17),6,2016/03/04,19,Trace TV,1.76E+09,32:00.0,Winona 272@gmail.com,None
Eastern Cape,1,1,white,1,0,1,male,0.01,Adult (25-34),6,2016/02/26,17,Supersport Live Events,1.76E+09,33:00.0,Royal 175@mailxyz.com,@Royal 17
Gauteng,1,1,white,1,0,1,male,0.01,Mature Adult (35-44),5,2016/03/24,17,Supersport Live Events,1.76E+09,13:00.0,Robby 165@mailxyz.com,@Robby 16
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),7,2016/02/20,9,Supersport Live Events,1.76E+09,20:00.0,Filiberto 44@abcmail.com,@Filiberto 4
Mpumalanga,1,1,white,1,0,1,male,0.01,Adult (25-34),3,2016/01/12,22,SuperSport Blitz,1.76E+09,01:00.0,Lloyd 71@yahoo.com,@Lloyd 7
Mpumalanga,1,1,white,1,0,1,male,0.01,Adult (25-34),7,2016/02/27,18,Supersport Live Events,1.76E+09,06:00.0,Shane 21@yahoo.com,@Shane 2
Kwazulu Natal,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),1,2016/03/13,15,ICC Cricket World Cup 2011,1.76E+09,59:00.0,Stacy 275@mailxyz.com,@Stacy 27
Mpumalanga,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/01/15,13,Cartoon Network,1.76E+09,24:00.0,Stacy 271@yahoo.com,@Stacy 27
Gauteng,1,1,coloured,1,0,1,male,0.01,Adult (25-34),7,2016/01/09,20,Cartoon Network,1.76E+09,35:00.0,Loyd 491@yahoo.com,@Loyd 49
Kwazulu Natal,1,1,None,1,0,1,male,0.01,Adult (25-34),2,2016/02/08,22,Trace TV,1.76E+09,34:00.0,Bernardo 321@yahoo.com,@Bernardo 32
Western Cape,1,1,white,1,0,1,male,0.01,Adult (25-34),7,2016/03/05,11,SuperSport Blitz,1.76E+09,55:00.0,Earl 422@gmail.com,@Earl 42
Mpumalanga,1,1,black,1,0,1,male,0.01,Youth (18-24),7,2016/01/16,21,Boomerang,1.76E+09,23:00.0,Wilburn 301@yahoo.com,@Wilburn 30
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),4,2016/02/24,20,CNN,1.76E+09,35:00.0,Claud 341@yahoo.com,@Claud 34
Western Cape,1,1,white,1,0,1,male,0.01,Retired (55+),2,2016/01/18,17,E! Entertainment,1.76E+09,10:00.0,Romeo 371@yahoo.com,@Romeo 37
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),5,2016/01/28,18,Supersport Live Events,1.76E+09,42:00.0,Lane 112@gmail.com,@Lane 11
None,1,1,None,0,0,1,None,0.01,Kids (0-17),5,2016/03/03,9,SawSee,1.76E+09,45:00.0,Emilie 391@yahoo.com,None
Mpumalanga,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/03/27,14,Supersport Live Events,1.76E+09,02:00.0,Art 401@yahoo.com,@Art 40
Gauteng,1,1,None,0,1,1,female,0.01,Adult (25-34),6,2016/04/01,0,Channel O,1.76E+09,08:00.0,Mellie 125@mailxyz.com,@Mellie 12
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Adult (25-34),6,2016/02/05,18,Supersport Live Events,1.76E+09,08:00.0,Earl 425@mailxyz.com,@Earl 42
Limpopo,1,1,None,1,0,1,male,0.01,Adult (25-34),6,2016/03/25,17,ICC Cricket World Cup 2011,1.76E+09,02:00.0,Bret 312@gmail.com,@Bret 31
Gauteng,1,1,coloured,0,1,1,female,0.01,Adult (25-34),5,2016/01/21,19,Cartoon Network,1.76E+09,19:00.0,Yolonda 131@yahoo.com,@Yolonda 13
Eastern Cape,1,1,white,1,0,1,male,0.01,Middle-Aged Adult (45-54),6,2016/01/08,5,Boomerang,1.76E+09,51:00.0,Hyman 82@gmail.com,@Hyman 8
Mpumalanga,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/02,17,Channel O,1.76E+09,04:00.0,Lane 111@yahoo.com,@Lane 11
Western Cape,1,1,coloured,0,1,1,female,0.01,Mature Adult (35-44),6,2016/02/26,19,Africa Magic,1.76E+09,02:00.0,Rebecka 112@gmail.com,@Rebecka 11
Limpopo,1,1,black,0,1,1,female,0.01,Youth (18-24),6,2016/02/19,3,Boomerang,1.76E+09,49:00.0,Lillie 363@mail.com,@Lillie 36
Gauteng,1,1,black,1,0,1,male,0.01,Youth (18-24),3,2016/03/29,13,Boomerang,1.76E+09,11:00.0,Jacinto 254@abcmail.com,@Jacinto 25
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/03/03,21,Supersport Live Events,1.76E+09,36:00.0,Efren 133@mail.com,@Efren 13
Gauteng,1,1,white,1,0,1,male,0.01,Middle-Aged Adult (45-54),7,2016/02/27,16,CNN,1.76E+09,07:00.0,Charlie 363@mail.com,@Charlie 36
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),1,2016/03/06,10,ICC Cricket World Cup 2011,1.76E+09,45:00.0,Hugh11@yahoo.com,@Hugh1
Limpopo,1,1,black,0,1,1,female,0.01,Youth (18-24),2,2016/01/11,7,Africa Magic,1.76E+09,12:00.0,Tiffani 242@gmail.com,@Tiffani 24
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Retired (55+),1,2016/02/14,8,Africa Magic,1.76E+09,07:00.0,Efren 132@gmail.com,@Efren 13
Gauteng,1,1,None,1,0,1,male,0.01,Middle-Aged Adult (45-54),7,2016/03/19,7,Boomerang,1.76E+09,38:00.0,Raymundo 435@mailxyz.com,@Raymundo 43
North West,1,1,black,1,0,1,male,0.01,Youth (18-24),7,2016/03/05,19,Cartoon Network,1.76E+09,46:00.0,Chas 351@yahoo.com,@Chas 35
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/02/07,20,E! Entertainment,1.76E+09,11:00.0,Kip 145@mailxyz.com,@Kip 14
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),7,2016/02/27,20,Break in transmission,1.76E+09,43:00.0,Abel 183@mail.com,@Abel 18
Eastern Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),5,2016/02/18,14,Trace TV,1.76E+09,01:00.0,Hyman 84@abcmail.com,@Hyman 8
Western Cape,1,1,None,1,0,1,male,0.01,Youth (18-24),4,2016/03/30,21,Trace TV,1.76E+09,41:00.0,Michel 205@mailxyz.com,@Michel 20
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),6,2016/02/05,8,Channel O,1.76E+09,53:00.0,Irving 52@gmail.com,@Irving 5
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),4,2016/03/30,15,E! Entertainment,1.76E+09,18:00.0,Markus 191@yahoo.com,@Markus 19
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),5,2016/02/11,14,SuperSport Blitz,1.76E+09,48:00.0,Dee 215@mailxyz.com,@Dee 21
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/19,6,Boomerang,1.76E+09,58:00.0,Lloyd 75@mailxyz.com,@Lloyd 7
Eastern Cape,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),1,2016/03/27,15,Cartoon Network,1.76E+09,52:00.0,Cory 102@gmail.com,@Cory 10
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),4,2016/03/23,8,SawSee,1.76E+09,03:00.0,Chas 355@mailxyz.com,@Chas 35
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),3,2016/02/02,11,Supersport Live Events,1.76E+09,41:00.0,Donald 221@yahoo.com,@Donald 22
Western Cape,1,1,coloured,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/12,9,Supersport Live Events,1.76E+09,12:00.0,Emerson 242@gmail.com,@Emerson 24
Gauteng,1,1,white,1,0,1,male,0.01,Mature Adult (35-44),6,2016/02/12,19,Cartoon Network,1.76E+09,56:00.0,Filiberto 41@yahoo.com,@Filiberto 4
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),4,2016/02/24,14,ICC Cricket World Cup 2011,1.76E+09,24:00.0,Robby 162@gmail.com,@Robby 16
Gauteng,1,1,None,1,0,1,male,0.01,Adult (25-34),3,2016/02/23,19,Channel O,1.76E+09,30:00.0,Filiberto 43@mail.com,@Filiberto 4
Western Cape,1,1,black,1,0,1,male,0.01,Youth (18-24),1,2016/02/14,23,Supersport Live Events,1.76E+09,26:00.0,Garry 285@mailxyz.com,@Garry 28
Gauteng,1,1,black,0,1,1,female,0.01,Mature Adult (35-44),5,2016/01/07,1,CNN,1.76E+09,00:00.0,Lillie 463@mail.com,@Lillie 46
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),2,2016/02/01,21,E! Entertainment,1.76E+09,16:00.0,Lucas 232@gmail.com,@Lucas 23
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),4,2016/01/27,19,Boomerang,1.76E+09,43:00.0,Art 402@gmail.com,@Art 40
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),4,2016/03/23,13,Channel O,1.76E+09,10:00.0,Jared 505@mailxyz.com,@Jared 50
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),3,2016/03/01,23,Boomerang,1.76E+09,59:00.0,Jacinto 255@mailxyz.com,@Jacinto 25
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),7,2016/03/12,14,ICC Cricket World Cup 2011,1.76E+09,57:00.0,Kyle 62@gmail.com,@Kyle 6
Limpopo,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/03/01,20,CNN,1.76E+09,45:00.0,Wilburn 302@gmail.com,@Wilburn 30
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),7,2016/02/06,0,SuperSport Blitz,1.76E+09,31:00.0,Earl 424@abcmail.com,@Earl 42
Mpumalanga,1,1,black,0,1,1,female,0.01,Youth (18-24),5,2016/02/18,20,CNN,1.76E+09,44:00.0,Cordie 63@mail.com,@Cordie 6
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),7,2016/02/20,3,Trace TV,1.76E+09,12:00.0,Wilton 414@abcmail.com,@Wilton 41
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),1,2016/02/14,22,Supersport Live Events,1.76E+09,49:00.0,Markus 191@yahoo.com,@Markus 19
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/26,13,ICC Cricket World Cup 2011,1.76E+09,53:00.0,Art 401@yahoo.com,@Art 40
Limpopo,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),4,2016/02/24,15,ICC Cricket World Cup 2011,1.76E+09,58:00.0,Raymundo 435@mailxyz.com,@Raymundo 43
Free State,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),3,2016/02/09,22,Supersport Live Events,1.76E+09,27:00.0,Romeo 371@yahoo.com,@Romeo 37
Gauteng,1,1,black,0,1,1,female,0.01,Adult (25-34),2,2016/02/01,10,Cartoon Network,1.76E+09,01:00.0,Tiffani 212@gmail.com,@Tiffani 21
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/02/21,7,Channel O,1.76E+09,47:00.0,Randy 395@mailxyz.com,@Randy 39
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),4,2016/03/23,10,Cartoon Network,1.76E+09,36:00.0,Royal 174@abcmail.com,@Royal 17
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/01/09,13,Boomerang,1.76E+09,49:00.0,Abel 184@abcmail.com,@Abel 18
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),7,2016/02/27,19,SuperSport Blitz,1.76E+09,13:00.0,Bernardo 323@mail.com,@Bernardo 32
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/02/16,7,Cartoon Network,1.76E+09,21:00.0,Jacinto 251@yahoo.com,@Jacinto 25
Gauteng,1,1,None,0,1,1,female,0.01,Adult (25-34),2,2016/03/07,13,Boomerang,1.76E+09,00:00.0,Torrie 142@gmail.com,@Torrie 14
Gauteng,1,1,None,1,0,1,male,0.01,Middle-Aged Adult (45-54),1,2016/01/24,15,Boomerang,1.76E+09,10:00.0,Samuel 262@gmail.com,@Samuel 26
Mpumalanga,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),4,2016/03/23,12,ICC Cricket World Cup 2011,1.76E+09,53:00.0,Brendan 452@gmail.com,@Brendan 45
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),7,2016/03/26,9,Cartoon Network,1.76E+09,38:00.0,Cory 104@abcmail.com,@Cory 10
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),5,2016/03/31,16,CNN,1.76E+09,57:00.0,Lane 111@yahoo.com,@Lane 11
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Adult (25-34),1,2016/03/06,12,ICC Cricket World Cup 2011,1.76E+09,56:00.0,Markus 192@gmail.com,@Markus 19
Gauteng,1,1,None,0,1,1,female,0.01,Mature Adult (35-44),4,2016/03/16,17,Boomerang,1.76E+09,10:00.0,Seema 413@mail.com,@Seema 41
Gauteng,1,1,white,1,0,1,male,0.01,Retired (55+),2,2016/03/14,13,CNN,1.76E+09,27:00.0,Bernardo 321@yahoo.com,@Bernardo 32
Western Cape,1,1,coloured,1,0,1,male,0.01,Adult (25-34),3,2016/03/01,13,ICC Cricket World Cup 2011,1.76E+09,05:00.0,Efren 132@gmail.com,@Efren 13
Gauteng,1,1,indian_asian,1,0,1,male,0.01,Mature Adult (35-44),3,2016/03/29,12,ICC Cricket World Cup 2011,1.76E+09,03:00.0,Samuel 262@gmail.com,@Samuel 26
Western Cape,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),4,2016/02/03,22,Supersport Live Events,1.76E+09,56:00.0,Royal 173@mail.com,@Royal 17
Gauteng,1,1,black,1,0,1,male,0.01,Kids (0-17),5,2016/03/03,16,Africa Magic,1.76E+09,54:00.0,Samuel 263@mail.com,@Samuel 26
Gauteng,1,1,coloured,1,0,1,male,0.01,Youth (18-24),2,2016/02/22,16,Channel O,1.76E+09,42:00.0,Bernardo 322@gmail.com,@Bernardo 32
Western Cape,1,1,None,0,1,1,female,0.01,Mature Adult (35-44),2,2016/02/01,10,Supersport Live Events,1.76E+09,12:00.0,Lillie 431@yahoo.com,@Lillie 43
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),1,2016/03/27,15,Channel O,1.76E+09,07:00.0,Samuel 261@yahoo.com,@Samuel 26
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/01/16,21,E! Entertainment,1.76E+09,09:00.0,Randy 391@yahoo.com,@Randy 39
Gauteng,1,1,white,1,0,1,male,0.01,Mature Adult (35-44),4,2016/02/24,14,ICC Cricket World Cup 2011,1.76E+09,26:00.0,Loyd 492@gmail.com,@Loyd 49
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),2,2016/03/28,17,SawSee,1.76E+09,38:00.0,Dee 215@mailxyz.com,@Dee 21
Mpumalanga,1,1,coloured,1,0,1,male,0.01,Middle-Aged Adult (45-54),3,2016/02/23,15,Africa Magic,1.76E+09,00:00.0,Stacy 275@mailxyz.com,@Stacy 27
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),7,2016/01/16,16,Supersport Live Events,1.76E+09,54:00.0,Bernardo 322@gmail.com,@Bernardo 32
Eastern Cape,1,1,white,1,0,1,male,0.01,Kids (0-17),4,2016/01/13,19,Channel O,1.76E+09,50:00.0,Raymundo 434@abcmail.com,@Raymundo 43
None,1,1,None,0,0,1,None,0.01,Kids (0-17),1,2016/02/28,18,Trace TV,1.76E+09,13:00.0,Malika 235@mailxyz.com,None
Kwazulu Natal,1,1,black,1,0,1,male,0.01,Adult (25-34),7,2016/02/06,17,Africa Magic,1.76E+09,41:00.0,Lucas 235@mailxyz.com,@Lucas 23
Gauteng,1,1,white,1,0,1,male,0.01,Adult (25-34),5,2016/02/18,11,Supersport Live Events,1.76E+09,21:00.0,Claud 343@mail.com,@Claud 34
Mpumalanga,1,1,black,1,0,1,male,0.01,Middle-Aged Adult (45-54),5,2016/03/31,23,SuperSport Blitz,1.76E+09,10:00.0,Michel 203@mail.com,@Michel 20
Mpumalanga,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),6,2016/03/25,19,Africa Magic,1.76E+09,10:00.0,Wilton 414@abcmail.com,@Wilton 41
North West,1,1,black,0,1,1,female,0.01,Adult (25-34),2,2016/02/15,22,Africa Magic,1.76E+09,12:00.0,Briana 503@mail.com,@Briana 50
Gauteng,1,1,black,1,0,1,male,0.01,Mature Adult (35-44),3,2016/02/09,12,Cartoon Network,1.76E+09,23:00.0,Royal 171@yahoo.com,@Royal 17
Gauteng,1,1,black,1,0,1,male,0.01,Adult (25-34),3,2016/03/15,17,Africa Magic,1.76E+09,34:00.0,Lucas 231@yahoo.com,@Lucas 23
